,Time,Temperature_Probe1,Temperature_Probe2
685,6.85,0.3,0.4
686,6.86,-0.4,0.2
687,6.87,0.4,0.3
688,6.88,0.2,0.4
689,6.89,0.2,0.4
690,6.9,0.3,0.4
691,6.91,-0.5,0.2
692,6.92,0.4,0.3
693,6.93,0.2,0.4
694,6.94,0.3,0.4
695,6.95,0.3,0.4
696,6.96,-0.5,0.2
697,6.97,0.3,0.3
698,6.98,0.3,0.5
699,6.99,0.3,0.4
700,7.0,0.3,0.4
701,7.01,-0.4,0.2
702,7.02,0.3,0.3
703,7.03,0.2,0.4
704,7.04,0.2,0.4
705,7.05,0.3,0.4
706,7.06,-0.4,0.3
707,7.07,0.3,0.3
708,7.08,0.2,0.4
709,7.09,0.2,0.4
710,7.1,0.4,0.4
711,7.11,-0.4,0.3
712,7.12,0.4,0.3
713,7.13,0.2,0.4
714,7.14,0.2,0.3
715,7.15,0.4,0.4
716,7.16,-0.4,0.3
717,7.17,0.4,0.3
718,7.18,0.2,0.4
719,7.19,0.2,0.3
720,7.2,0.3,0.4
721,7.21,-0.4,0.2
722,7.22,0.4,0.3
723,7.23,0.2,0.4
724,7.24,0.2,0.4
725,7.25,0.3,0.4
726,7.26,-0.6,0.2
727,7.27,0.4,0.3
728,7.28,0.3,0.4
729,7.29,0.2,0.3
730,7.3,0.3,0.4
731,7.31,-0.5,0.2
732,7.32,0.3,0.3
733,7.33,0.2,0.4
734,7.34,0.2,0.4
735,7.35,0.3,0.4
736,7.36,-0.4,0.3
737,7.37,0.3,0.3
738,7.38,0.2,0.4
739,7.39,0.2,0.3
740,7.4,0.4,0.4
741,7.41,-0.5,0.2
742,7.42,0.4,0.3
743,7.43,0.1,0.4
744,7.44,0.2,0.3
745,7.45,0.3,0.4
746,7.46,-0.5,0.2
747,7.47,0.4,0.3
748,7.48,0.2,0.4
749,7.49,0.2,0.3
750,7.5,0.3,0.4
751,7.51,-0.5,0.2
752,7.52,0.3,0.3
753,7.53,0.3,0.4
754,7.54,0.2,0.3
755,7.55,0.3,0.4
756,7.56,-0.5,0.2
757,7.57,0.3,0.3
758,7.58,0.2,0.4
759,7.59,0.2,0.3
760,7.6,0.4,0.4
761,7.61,-0.5,0.2
762,7.62,0.4,0.3
763,7.63,0.2,0.4
764,7.64,0.2,0.3
765,7.65,0.3,0.4
766,7.66,-0.5,0.2
767,7.67,0.4,0.3
768,7.68,0.2,0.4
769,7.69,0.2,0.3
770,7.7,0.3,0.4
771,7.71,-0.5,0.2
772,7.72,0.3,0.3
773,7.73,0.2,0.4
774,7.74,0.2,0.3
775,7.75,0.3,0.4
776,7.76,-0.5,0.2
777,7.77,0.3,0.3
778,7.78,0.2,0.4
779,7.79,0.2,0.3
780,7.8,0.3,0.4
781,7.81,-0.5,0.2
782,7.82,0.4,0.3
783,7.83,0.2,0.4
784,7.84,0.2,0.3
785,7.85,0.3,0.4
786,7.86,-0.5,0.2
787,7.87,0.3,0.3
788,7.88,0.2,0.4
789,7.89,0.2,0.3
790,7.9,0.3,0.4
791,7.91,-0.4,0.2
792,7.92,0.4,0.3
793,7.93,0.1,0.4
794,7.94,0.1,0.3
795,7.95,0.3,0.4
796,7.96,-0.5,0.2
797,7.97,0.4,0.3
798,7.98,0.2,0.4
799,7.99,0.2,0.3
800,8.0,0.3,0.3
801,8.01,-0.5,0.2
802,8.02,0.3,0.3
803,8.03,0.2,0.4
804,8.04,0.2,0.3
805,8.05,0.3,0.4
806,8.06,-0.5,0.2
807,8.07,0.4,0.3
808,8.08,0.1,0.3
809,8.09,0.2,0.3
810,8.1,0.3,0.3
811,8.11,-0.6,0.2
812,8.12,0.4,0.3
813,8.13,0.2,0.4
814,8.14,0.2,0.3
815,8.15,0.3,0.3
816,8.16,-0.4,0.2
817,8.17,0.4,0.3
818,8.18,0.2,0.4
819,8.19,0.2,0.3
820,8.2,0.3,0.4
821,8.21,-0.5,0.2
822,8.22,0.4,0.3
823,8.23,0.3,0.4
824,8.24,0.2,0.3
825,8.25,0.3,0.3
826,8.26,-0.5,0.2
827,8.27,0.3,0.2
828,8.28,0.2,0.4
829,8.29,0.2,0.3
830,8.3,0.3,0.4
831,8.31,-0.6,0.2
832,8.32,0.4,0.3
833,8.33,0.3,0.4
834,8.34,0.2,0.3
835,8.35,0.3,0.3
836,8.36,-0.5,0.2
837,8.37,0.3,0.2
838,8.38,0.2,0.4
839,8.39,0.2,0.3
840,8.4,0.3,0.4
841,8.41,-0.5,0.2
842,8.42,0.4,0.3
843,8.43,0.2,0.4
844,8.44,0.2,0.3
845,8.45,0.3,0.3
846,8.46,-0.4,0.2
847,8.47,0.3,0.3
848,8.48,0.2,0.4
849,8.49,0.1,0.3
850,8.5,0.3,0.4
851,8.51,-0.5,0.2
852,8.52,0.4,0.3
853,8.53,0.3,0.4
854,8.54,0.2,0.3
855,8.55,0.3,0.3
856,8.56,-0.5,0.2
857,8.57,0.4,0.3
858,8.58,0.2,0.4
859,8.59,0.1,0.3
860,8.6,0.3,0.3
861,8.61,-0.6,0.2
862,8.62,0.4,0.3
863,8.63,0.3,0.4
864,8.64,0.2,0.3
865,8.65,0.3,0.3
866,8.66,-0.5,0.2
867,8.67,0.4,0.3
868,8.68,0.1,0.4
869,8.69,0.2,0.3
870,8.7,0.3,0.3
871,8.71,-0.6,0.2
872,8.72,0.3,0.3
873,8.73,0.2,0.4
874,8.74,0.2,0.3
875,8.75,0.4,0.4
876,8.76,-0.5,0.2
877,8.77,0.4,0.3
878,8.78,0.2,0.4
879,8.79,0.2,0.3
880,8.8,0.3,0.3
881,8.81,-0.5,0.2
882,8.82,0.3,0.2
883,8.83,0.2,0.4
884,8.84,0.1,0.3
885,8.85,0.3,0.4
886,8.86,-0.5,0.1
887,8.87,0.4,0.3
888,8.88,0.2,0.4
889,8.89,0.2,0.3
890,8.9,0.3,0.3
891,8.91,-0.4,0.2
892,8.92,0.4,0.3
893,8.93,0.1,0.3
894,8.94,0.2,0.3
895,8.95,0.3,0.3
896,8.96,-0.5,0.2
897,8.97,0.3,0.3
898,8.98,0.2,0.4
899,8.99,0.2,0.3
900,9.0,0.3,0.4
901,9.01,-0.5,0.2
902,9.02,0.4,0.3
903,9.03,0.2,0.4
904,9.04,0.3,0.3
905,9.05,0.3,0.3
906,9.06,-0.5,0.2
907,9.07,0.4,0.3
908,9.08,0.1,0.4
909,9.09,0.2,0.3
910,9.1,0.3,0.3
911,9.11,-0.5,0.1
912,9.12,0.3,0.2
913,9.13,0.2,0.4
914,9.14,0.2,0.3
915,9.15,0.3,0.4
916,9.16,-0.5,0.1
917,9.17,0.4,0.3
918,9.18,0.2,0.4
919,9.19,0.2,0.3
920,9.2,0.4,0.3
921,9.21,-0.5,0.2
922,9.22,0.4,0.3
923,9.23,0.2,0.3
924,9.24,0.2,0.3
925,9.25,0.3,0.3
926,9.26,-0.5,0.2
927,9.27,0.3,0.2
928,9.28,0.2,0.4
929,9.29,0.2,0.3
930,9.3,0.3,0.3
931,9.31,-0.5,0.1
932,9.32,0.3,0.3
933,9.33,0.3,0.4
934,9.34,0.2,0.3
935,9.35,0.4,0.4
936,9.36,-0.5,0.2
937,9.37,0.4,0.3
938,9.38,0.3,0.4
939,9.39,0.3,0.3
940,9.4,0.3,0.3
941,9.41,-0.5,0.2
942,9.42,0.4,0.3
943,9.43,0.1,0.4
944,9.44,0.2,0.3
945,9.45,0.3,0.3
946,9.46,-0.5,0.2
947,9.47,0.3,0.2
948,9.48,0.2,0.4
949,9.49,0.2,0.3
950,9.5,0.3,0.3
951,9.51,-0.5,0.1
952,9.52,0.3,0.2
953,9.53,0.2,0.4
954,9.54,0.2,0.3
955,9.55,0.3,0.3
956,9.56,-0.5,0.1
957,9.57,0.4,0.3
958,9.58,0.2,0.4
959,9.59,0.2,0.3
960,9.6,0.4,0.4
961,9.61,-0.4,0.1
962,9.62,0.4,0.3
963,9.63,0.2,0.4
964,9.64,0.2,0.3
965,9.65,0.4,0.3
966,9.66,-0.4,0.2
967,9.67,0.4,0.3
968,9.68,0.2,0.4
969,9.69,0.3,0.3
970,9.7,0.3,0.3
971,9.71,-0.4,0.2
972,9.72,0.4,0.3
973,9.73,0.2,0.3
974,9.74,0.2,0.3
975,9.75,0.3,0.3
976,9.76,-0.3,0.2
